role,skills,education,experience_type
software_engineer,"amazon redshift, big data, c++, cloud, core java, data science, data structures, dbms, hadoop, hdfs, hive, informatica, java, machine learning, mapreduce, microsoft azure, python, rdbms, spark, talend, yarn",B.Tech,experienced
machine learning (ml) engineer,"business analysis, business analytics, data analysis, data analytics, data visualization, machine learning, powerbi, r, sas, tableau","B.Sc (Maths), M.Sc (Science) (Statistics)",experienced
marketing,"application support, c, c++, css, deep learning, docker, hive, html, javascript, machine learning, python, requirement gathering, risk assessment, software development",B.Tech,experienced
business development executive,"access, accounts payable, accounts payables, accounts receivable, accounts receivables, administrative functions, banking, bi, budget, clients, closing, computer applications, credit, customer service, data entry, delivery, driving, email, enterprise, excel, insurance, inventory, ledger, mortgage loan, outlook, phone, policies, powerpoint, quickbooks, sales, sales reports, telecommunications, trial balance, word, workflow, written",Computer Applications Specialist Certificate Program,experienced
senior ios engineer,"accounting, accounting systems, accounts payable, accounts receivable, administrative, analytical reasoning, annual reports, ar, billing, client, clients, closing, compliance testing knowledge, documentation, effective time management, financial, financial reports, fixed assets, maintain records, managing, month-end closing, policies, preparation of financial reports, preparation of financial statements, public and private accounting, reporting, research, sales, tax, tax returns, taxes, year-end",Bachelor of Business Administration,experienced
ai engineer,"and troubleshooting, application development, atm, bind, cat5, cat5e, coaxial, configuration, dhcp, dns, hsrp and lan, inventory management, ip, ipsec, ipx, management, microsoft applications, network security, networking, on-call tech support, pc hardware and software installation, programming languages, remote desktop and help desk management, ss7, tcp, team leadership, technical support, verbal communication, voice over ip telephone, voip, wan architecture, windows & mac os, wire spicing: cat3, wiring","Bachelor Degree, Associate Degree",experienced
senior ios engineer,"lasso regression, linear regression, machine learning, ridge regression, tableau, time series analysis",B.Tech,experienced
senior ios engineer,"and humidity, apqp, assembly, biotechnology, calibration, circuit boards, control system design, control systems, corrective maintenance, dmm, documentation, electrical engineer, electrical engineering, electrical mechanical, electrical test, engineer, entry level, esd, estimation, first article inspection, hydraulics, ieee, industrial machinery, inspection, maintenance, manufacturing process, mechanical, mechanical technician, medical devices, oscilloscope, packaging, pneumatics, pr, preventive maintenance, proactive, process control, production process, project manager, public relations, schematic, self motivated, sensor, sensors, soldering, sop, surface mount, temperature, test engineer, testing, through-hole, training, wiring",Bachelor of Science,experienced
mechanical engineer,"aws, computer vision, data analysis, data mining, decision trees, deep learning, flask api, machine learning, multivariate analysis, mysql, nlp, numpy, predictive modeling, python, random forest, scikit-learn, statistical analysis, xgboost",B.Tech/B.E.,experienced
business development executive,"artificial intelligence, data analysis, debugging, django, docker, github, jira, machine learning, natural language processing, postgresql, project management, python, relational databases, restapi, software developer, software development, tornado","BCA, MCA",experienced
mechanical designer,"accounting, billing, change management, client relations, contracts, database, delivery, eclipse, finance, financial reporting, financial statements, front office, hiring, instructional design, instructor, leadership training, logistics, managing, microsoft office suite, needs analysis, payables, peoplesoft, peoplesoft finance applications, peoplesoft hrms, personnel, program management, project management, project plans, teaching, training design and development, training material, training materials, training programs, upgrade, videoscribe software, view","Master of Science, Bachelor of Science, Bachelor of Science",experienced
asst. manager/ manger (administrative),"artificial intelligence, deep learning, neural networks, power bi, python, r, sas, sql, tableau",BCA,experienced
machine learning (ml) engineer,"business analysis, business intelligence, data analytics, graphql, linear regression, logistic regression, python",B.A,experienced
mechanical designer,"c, c++, code blocks, css, data structures, google colab, html, java, javascript, jupyter notebook, keras, matlab, ms office, numpy, opencv, pycharm, pytesseract, python, scikit-learn, sql, tensorflow, turbo c++","B.Tech. (Electrical Engineering Specialization in Computer Science), XII, X",experienced
mechanical engineer,"css, html, java, javascript, kotlin, mysql, postgresql, react native, rest apis, spring",Bachelor of Science,experienced
data_analyst,"artificial intelligence, data modeling, data validation, data visualization, deep learning, machine learning, matplotlib, method development, mongodb, mysql, plotly, python, seaborn",B.Tech,experienced
"system administrator (operation & maintenance of server, storage & service desk system)","budget, database, dec, documentation, hardware, inspection, logistics, maintain documentation, meetings, microsoft office, ms excel, network, network systems, networking, operating systems, oracle, outlook, personnel, powerpoint, presentations, progress, quality, routers, safety, scheduling, shipping, spreadsheets, supervision",Business Administration,experienced
marketing,"artificial intelligence, deep learning, matplotlib, numpy, pandas, reinforcement learning, scikit learn, tensorflow keras",B.Tech(IT),experienced
project coordinator (civil),"css, html, java, javascript, kotlin, mysql, postgresql, react native, rest apis, spring",Bachelor of Science,experienced
executive/ sr. executive -it,"catboost, classification, data science, decision trees, deep learning, loss optimization, machine learning, matplotlib, numpy, opencv, pandas, python, random forest, regression, scikit learn, xgboost",B.Tech,experienced
mechanical engineer,"access, aderant, bookkeeping, budget development, cms, excel, financial reporting, hyperion essbase, ifrs, individual tax returns, peachtree, quickbooks pro, sql, us gaap principles",Bachelor of Business Administration,experienced
network support engineer,"arcview, autocad, drafting, file maintenance, gps, graphic, inspection, microsoft access, microstation, repairs, supervision, surveys, utilities","BS, AAS",experienced
marketing,"aws, c++, computer vision, data analysis, deep learning, java, machine learning, numpy, python, sap, scikit-learn",B.TECH,experienced
